date,snow_depth_water_equivalent_mean,surface_net_solar_radiation_mean,surface_net_thermal_radiation_mean,surface_pressure_mean,temperature_2m_mean,dewpoint_temperature_2m_mean,u_component_of_wind_10m_mean,v_component_of_wind_10m_mean,volumetric_soil_water_layer_1_mean,volumetric_soil_water_layer_2_mean,volumetric_soil_water_layer_3_mean,volumetric_soil_water_layer_4_mean,snow_depth_water_equivalent_min,surface_net_solar_radiation_min,surface_net_thermal_radiation_min,surface_pressure_min,temperature_2m_min,dewpoint_temperature_2m_min,u_component_of_wind_10m_min,v_component_of_wind_10m_min,volumetric_soil_water_layer_1_min,volumetric_soil_water_layer_2_min,volumetric_soil_water_layer_3_min,volumetric_soil_water_layer_4_min,snow_depth_water_equivalent_max,surface_net_solar_radiation_max,surface_net_thermal_radiation_max,surface_pressure_max,temperature_2m_max,dewpoint_temperature_2m_max,u_component_of_wind_10m_max,v_component_of_wind_10m_max,volumetric_soil_water_layer_1_max,volumetric_soil_water_layer_2_max,volumetric_soil_water_layer_3_max,volumetric_soil_water_layer_4_max,total_precipitation_sum,potential_evaporation_sum,streamflow
1981-01-18,0.53,31.46,-36.38,100.49,2.24,0.95,1.38,1.57,0.46,0.46,0.44,0.42,0.35,0.0,-63.14,99.93,-1.28,-1.75,-0.71,-5.23,0.45,0.46,0.44,0.42,0.59,169.07,0.3,100.92,5.83,4.97,4.76,5.94,0.48,0.46,0.44,0.42,2.94,0.49,0.53
1981-01-19,0.17,41.25,-60.09,100.15,4.52,1.55,5.74,-0.92,0.46,0.46,0.44,0.42,0.1,-0.0,-92.72,99.95,2.67,-1.04,4.43,-3.46,0.45,0.46,0.44,0.42,0.32,204.25,-4.29,100.39,6.38,5.01,7.3,0.3,0.47,0.46,0.44,0.42,0.2,1.61,0.51
1981-01-20,0.09,44.37,-58.12,100.93,2.03,0.17,1.78,-1.74,0.45,0.46,0.44,0.42,0.08,0.0,-83.83,100.07,0.48,-0.68,0.1,-4.27,0.44,0.45,0.44,0.42,0.1,212.59,-9.3,101.78,4.13,1.34,4.34,2.54,0.45,0.46,0.44,0.42,0.09,0.6,0.43
1981-01-21,0.05,4.28,-1.45,101.49,6.08,4.89,2.42,1.52,0.47,0.46,0.44,0.42,0.01,0.0,-12.33,101.33,2.15,-0.52,0.53,-3.47,0.44,0.45,0.44,0.42,0.08,27.07,6.47,101.76,10.82,9.92,4.95,4.95,0.49,0.47,0.45,0.42,8.66,0.31,0.53
1981-01-22,0.0,16.97,-8.49,102.08,8.52,7.58,1.72,-1.17,0.46,0.47,0.45,0.42,0.0,0.0,-20.93,101.72,7.62,6.72,0.58,-2.71,0.45,0.46,0.45,0.42,0.01,100.2,1.2,102.29,9.41,8.5,3.09,1.3,0.47,0.47,0.45,0.42,0.26,0.23,0.68
1981-01-23,0.0,23.4,-16.12,102.17,8.52,7.95,1.71,1.39,0.45,0.46,0.45,0.42,0.0,0.0,-39.18,101.95,7.39,7.22,0.83,0.68,0.45,0.46,0.45,0.42,0.0,111.35,2.3,102.29,10.31,8.93,2.51,3.06,0.45,0.46,0.45,0.42,0.33,0.14,0.48
1981-01-24,0.0,24.58,-27.88,101.67,6.9,5.3,3.26,0.71,0.45,0.46,0.45,0.42,0.0,0.0,-65.26,101.53,3.16,1.72,2.06,-1.96,0.44,0.45,0.45,0.42,0.0,121.34,-2.11,101.93,9.27,6.98,5.82,3.23,0.45,0.46,0.45,0.42,0.19,0.81,0.39
1981-01-25,0.0,46.02,-56.39,101.69,4.28,1.73,3.9,-0.76,0.44,0.45,0.45,0.42,0.0,0.0,-78.65,101.53,2.38,0.4,2.54,-2.43,0.44,0.45,0.45,0.42,0.0,209.57,-28.17,101.98,7.35,2.71,6.03,-0.01,0.44,0.45,0.45,0.42,0.01,1.23,0.37
1981-01-26,0.0,20.01,-14.29,102.25,5.89,4.68,2.37,1.03,0.45,0.45,0.45,0.42,0.0,0.0,-43.69,102.02,3.27,2.22,1.25,-0.27,0.44,0.45,0.45,0.42,0.0,135.16,0.07,102.45,8.1,7.45,3.44,2.49,0.45,0.45,0.45,0.42,1.75,0.38,0.35
1981-01-27,0.0,24.04,-17.49,102.85,7.4,6.64,1.59,-0.53,0.44,0.45,0.45,0.42,0.0,0.0,-37.15,102.51,6.13,5.91,0.08,-1.58,0.44,0.45,0.45,0.42,0.0,115.18,-0.9,103.13,8.42,7.52,3.24,1.14,0.45,0.45,0.45,0.43,0.04,0.24,0.35
1981-01-28,0.0,16.86,-7.25,103.08,7.31,6.43,0.53,1.53,0.44,0.45,0.45,0.43,0.0,0.0,-18.13,102.94,6.26,6.07,-0.78,1.04,0.44,0.44,0.45,0.43,0.0,83.0,-1.45,103.21,9.02,6.88,1.8,2.25,0.44,0.45,0.45,0.43,0.13,0.32,0.35
1981-01-29,0.0,19.31,-10.51,102.7,6.13,5.27,0.93,1.95,0.44,0.44,0.45,0.43,0.0,0.0,-22.86,102.56,5.2,4.63,0.5,1.07,0.44,0.44,0.45,0.43,0.0,97.55,-1.66,102.91,7.23,6.23,1.75,2.83,0.44,0.44,0.45,0.43,0.15,0.47,0.31
1981-01-30,0.0,46.14,-45.45,102.63,4.09,2.83,1.46,1.1,0.43,0.44,0.45,0.43,0.0,0.0,-100.93,102.55,2.13,1.95,0.8,0.32,0.43,0.44,0.45,0.43,0.0,230.31,-8.23,102.72,6.99,4.51,2.19,2.4,0.44,0.44,0.45,0.43,0.13,0.59,0.27
1981-01-31,0.0,58.93,-56.88,102.73,2.82,1.46,2.49,0.94,0.43,0.44,0.45,0.43,0.0,0.0,-106.04,102.65,0.66,-0.17,1.88,0.3,0.43,0.44,0.45,0.43,0.0,276.48,-8.26,102.81,6.98,3.34,2.96,1.63,0.43,0.44,0.45,0.43,0.01,0.7,0.32
1981-02-01,0.0,63.38,-78.35,102.66,3.1,-0.02,2.98,1.11,0.43,0.44,0.45,0.43,0.0,0.0,-104.46,102.61,-0.26,-2.33,2.5,0.3,0.43,0.43,0.45,0.43,0.0,283.64,-54.69,102.71,8.77,3.2,3.33,2.16,0.43,0.44,0.45,0.43,0.0,0.99,0.34
1981-02-02,0.0,38.18,-39.26,102.06,5.1,2.88,4.32,4.04,0.43,0.43,0.45,0.43,0.0,0.0,-75.83,100.66,1.55,-1.27,2.75,2.42,0.42,0.43,0.45,0.43,0.0,176.28,-3.46,102.59,8.66,6.9,6.94,8.07,0.43,0.43,0.45,0.43,0.12,1.21,0.31
1981-02-03,0.0,40.96,-37.04,99.71,7.77,4.66,6.26,1.45,0.45,0.44,0.45,0.43,0.0,0.0,-64.21,98.91,4.84,1.06,3.8,-2.24,0.43,0.43,0.45,0.43,0.0,195.65,-1.12,100.46,10.46,9.03,9.32,7.87,0.46,0.44,0.45,0.43,4.47,2.32,0.34
1981-02-04,0.0,51.73,-67.44,99.06,3.08,-0.93,5.15,-2.55,0.44,0.44,0.44,0.43,0.0,0.0,-91.7,98.64,-0.2,-2.81,3.38,-5.36,0.44,0.44,0.44,0.43,0.0,222.62,-27.08,99.77,5.46,2.24,6.85,-0.86,0.45,0.44,0.45,0.43,0.45,2.49,0.35
1981-02-05,0.02,32.75,-53.53,100.1,3.76,1.48,4.88,-1.22,0.44,0.44,0.44,0.43,0.0,0.0,-82.59,99.79,-0.44,-2.32,3.91,-3.93,0.43,0.44,0.44,0.43,0.06,172.0,-19.75,100.55,8.69,4.82,6.31,1.59,0.44,0.44,0.44,0.43,0.49,1.01,0.35
1981-02-06,0.0,38.56,-31.83,100.74,8.45,5.92,5.78,0.8,0.43,0.44,0.44,0.43,0.0,0.0,-63.35,100.54,4.62,3.17,4.16,-0.02,0.43,0.44,0.44,0.43,0.01,171.98,-1.33,101.18,11.48,8.0,8.87,1.68,0.43,0.44,0.44,0.43,0.02,1.78,0.32
1981-02-07,0.0,51.87,-35.02,101.26,9.88,7.03,6.51,2.24,0.43,0.43,0.44,0.43,0.0,0.0,-59.8,101.11,8.79,4.77,5.44,0.85,0.42,0.43,0.44,0.43,0.0,233.03,-8.27,101.34,11.37,8.6,7.96,3.43,0.43,0.44,0.44,0.43,0.0,2.6,0.32
1981-02-08,0.0,11.85,-20.66,101.12,8.98,6.14,4.59,2.89,0.43,0.43,0.44,0.43,0.0,0.0,-55.91,100.9,8.1,5.44,3.06,1.81,0.42,0.43,0.44,0.43,0.0,56.73,-4.7,101.3,10.17,6.91,6.96,4.54,0.43,0.43,0.44,0.43,0.47,1.76,0.34
1981-02-09,0.08,10.04,-8.9,100.35,6.08,4.73,3.11,0.62,0.43,0.43,0.44,0.43,0.0,0.0,-27.18,99.97,1.43,0.59,1.85,-8.76,0.42,0.43,0.44,0.43,0.52,40.79,-2.2,100.87,8.3,6.4,4.09,4.35,0.46,0.43,0.44,0.43,4.27,1.05,0.33
1981-02-10,0.47,69.83,-69.6,101.42,1.42,-1.9,3.4,-3.71,0.45,0.44,0.44,0.43,0.43,0.0,-93.29,100.56,-1.75,-3.71,1.75,-5.84,0.44,0.43,0.44,0.43,0.5,309.88,-13.68,102.12,4.49,0.73,4.63,-1.71,0.46,0.44,0.44,0.43,0.6,2.02,0.34
1981-02-11,0.43,74.57,-78.93,101.83,-0.42,-3.67,2.24,0.3,0.44,0.44,0.44,0.43,0.42,0.0,-97.95,101.23,-3.85,-5.06,1.2,-1.56,0.43,0.44,0.44,0.43,0.43,307.81,-60.64,102.18,4.24,-1.46,3.71,2.73,0.44,0.44,0.44,0.43,0.0,1.08,0.33
1981-02-12,0.39,37.65,-50.2,100.86,1.31,-1.94,0.06,3.19,0.43,0.43,0.44,0.43,0.34,0.0,-71.03,100.71,-1.61,-3.33,-1.8,1.72,0.43,0.43,0.44,0.43,0.43,147.49,-23.19,101.18,4.91,-0.32,1.73,4.82,0.43,0.44,0.44,0.43,0.01,0.99,0.33
1981-02-13,0.33,65.74,-64.69,101.55,0.45,-2.84,-2.73,1.09,0.43,0.43,0.44,0.43,0.31,0.0,-92.6,101.14,-2.24,-4.06,-4.13,-0.42,0.43,0.43,0.44,0.43,0.34,291.95,-36.8,101.86,4.01,-1.76,-2.09,2.4,0.43,0.43,0.44,0.43,0.01,1.2,0.32
1981-02-14,0.31,69.31,-55.95,101.72,-0.5,-3.65,-0.81,0.39,0.42,0.43,0.44,0.43,0.3,0.0,-86.67,101.55,-2.98,-4.24,-2.1,-0.45,0.42,0.43,0.44,0.43,0.32,274.17,-28.97,101.87,2.46,-2.36,0.43,1.82,0.43,0.43,0.44,0.43,0.01,0.81,0.32
1981-02-15,0.29,85.55,-73.28,101.53,-0.99,-4.33,1.15,1.11,0.42,0.43,0.44,0.43,0.28,0.0,-112.13,101.46,-3.66,-5.72,0.53,0.14,0.42,0.43,0.44,0.43,0.3,354.32,-42.4,101.6,3.41,-3.2,2.0,1.79,0.42,0.43,0.44,0.43,0.0,1.04,0.32
1981-02-16,0.27,25.16,-20.01,101.84,0.37,-1.7,-0.19,-0.4,0.42,0.43,0.44,0.43,0.25,0.0,-49.07,101.6,-3.0,-5.24,-1.81,-1.93,0.42,0.43,0.44,0.43,0.29,116.34,5.43,102.09,3.38,0.97,0.98,0.8,0.42,0.43,0.44,0.43,0.08,0.23,0.32
1981-02-17,0.21,53.36,-29.47,102.1,2.24,0.4,-2.14,-1.03,0.42,0.43,0.44,0.43,0.16,0.0,-88.44,102.01,-0.27,-0.88,-3.31,-1.88,0.42,0.42,0.44,0.43,0.25,190.01,-2.43,102.21,5.59,2.31,-1.3,-0.53,0.42,0.43,0.44,0.43,0.08,0.86,0.3
1981-02-18,0.19,37.93,-32.79,101.74,1.12,-1.96,-2.71,-2.82,0.42,0.42,0.44,0.43,0.16,0.0,-82.22,101.57,-0.64,-5.23,-3.96,-4.08,0.42,0.42,0.44,0.43,0.24,146.39,-9.51,102.0,2.73,0.43,-1.74,-1.18,0.42,0.42,0.44,0.43,0.3,1.51,0.31
1981-02-19,0.26,49.71,-34.8,101.59,1.08,-3.24,-3.1,-3.3,0.42,0.42,0.44,0.43,0.24,0.0,-59.54,101.51,-0.43,-4.1,-5.49,-3.81,0.42,0.42,0.44,0.43,0.28,218.48,-18.6,101.66,3.53,-2.29,-1.34,-2.79,0.42,0.42,0.44,0.43,0.33,2.17,0.32
1981-02-20,0.37,68.92,-60.28,101.45,-0.18,-3.86,-0.52,-3.48,0.42,0.42,0.44,0.43,0.26,0.0,-85.1,101.32,-3.49,-4.62,-1.7,-5.59,0.42,0.42,0.44,0.43,0.49,264.53,-34.94,101.64,3.21,-2.57,0.73,-2.14,0.42,0.42,0.44,0.43,0.73,1.71,0.34
1981-02-21,0.49,65.22,-58.9,101.06,-1.67,-5.6,-0.82,1.31,0.42,0.42,0.44,0.43,0.47,0.0,-80.14,100.57,-5.75,-6.78,-3.78,-2.12,0.41,0.42,0.44,0.43,0.5,304.67,-27.28,101.41,1.81,-3.99,0.39,4.08,0.42,0.42,0.44,0.43,0.05,1.39,0.33
1981-02-22,2.19,21.07,-21.78,100.17,0.22,-2.01,-5.01,2.74,0.42,0.42,0.44,0.43,0.5,0.0,-52.96,100.02,-1.7,-5.26,-6.69,1.5,0.41,0.42,0.44,0.43,3.44,89.76,-3.0,100.52,1.89,1.09,-2.68,3.95,0.43,0.42,0.44,0.43,4.75,1.1,0.3
1981-02-23,2.98,36.44,-13.97,100.53,1.4,-0.02,-3.69,0.96,0.44,0.42,0.44,0.43,2.58,0.0,-31.19,100.19,-0.1,-2.08,-5.47,-2.45,0.43,0.42,0.44,0.43,3.58,156.86,0.28,101.1,2.61,1.47,-2.12,2.93,0.45,0.43,0.44,0.43,2.52,0.85,0.3
1981-02-24,3.5,53.23,-43.47,101.62,0.2,-4.03,-1.8,-2.59,0.43,0.43,0.44,0.43,3.4,0.0,-84.5,101.16,-2.8,-5.18,-3.65,-3.26,0.43,0.43,0.44,0.43,3.6,239.87,-14.53,101.98,2.98,-2.35,0.38,-2.05,0.44,0.43,0.44,0.43,0.22,1.58,0.31
1981-02-25,3.16,57.26,-43.94,102.02,-0.02,-2.74,-0.64,-0.94,0.43,0.43,0.44,0.43,2.82,0.0,-67.78,101.89,-3.66,-4.99,-2.48,-2.26,0.43,0.43,0.44,0.43,3.47,223.29,-24.15,102.17,3.85,-1.43,0.91,1.08,0.43,0.43,0.44,0.43,0.26,0.73,0.32
1981-02-26,2.58,38.76,-25.48,101.71,1.1,-1.39,-3.71,0.93,0.43,0.43,0.44,0.43,2.21,0.0,-59.37,101.11,-0.92,-2.7,-4.62,-0.28,0.43,0.43,0.43,0.43,2.86,143.4,-13.36,102.15,2.96,0.02,-2.55,1.95,0.43,0.43,0.44,0.43,0.14,1.04,0.31
1981-02-27,1.72,71.31,-57.46,100.05,3.22,-0.55,-5.81,3.43,0.43,0.43,0.43,0.43,0.82,0.0,-81.34,99.24,-0.04,-1.57,-7.1,1.31,0.43,0.43,0.43,0.43,2.22,297.59,-20.62,101.02,5.86,0.69,-3.94,5.67,0.44,0.43,0.43,0.43,0.38,2.74,0.3
1981-02-28,0.61,16.01,-19.97,98.97,4.33,3.18,-2.68,3.58,0.47,0.45,0.44,0.43,0.44,0.0,-70.62,98.81,1.88,1.35,-6.51,2.18,0.44,0.43,0.43,0.43,0.89,91.66,2.48,99.21,7.32,5.36,1.81,5.68,0.48,0.46,0.44,0.43,10.31,0.55,0.34
1981-03-01,0.22,53.08,-37.1,99.24,6.04,4.23,-1.2,5.03,0.46,0.46,0.44,0.43,0.05,0.0,-64.12,99.16,3.58,2.65,-2.55,3.94,0.46,0.46,0.44,0.43,0.43,169.16,-6.72,99.37,8.89,5.4,0.86,6.7,0.47,0.46,0.44,0.43,3.46,1.25,0.33
1981-03-02,0.02,70.46,-38.8,99.08,6.48,5.0,-1.66,2.86,0.47,0.46,0.44,0.43,0.01,0.0,-66.22,99.0,4.23,3.44,-3.19,0.37,0.46,0.46,0.44,0.43,0.05,290.13,-8.52,99.16,9.53,6.82,-0.46,4.41,0.48,0.47,0.44,0.43,3.75,1.13,0.79
1981-03-03,0.01,30.5,-19.65,99.83,3.57,2.13,-1.78,-3.96,0.47,0.47,0.44,0.43,0.0,0.0,-47.74,99.14,0.99,-1.11,-2.81,-5.96,0.46,0.47,0.44,0.43,0.01,134.02,-1.64,100.65,5.03,4.36,-0.19,-0.16,0.48,0.47,0.44,0.43,2.75,1.03,0.91
1981-03-04,0.02,66.95,-44.08,100.79,1.6,-2.4,0.62,-0.61,0.45,0.46,0.45,0.43,0.01,0.0,-64.39,100.63,-1.28,-3.83,-0.51,-3.16,0.45,0.46,0.44,0.43,0.04,280.93,-26.16,100.92,4.3,-0.8,1.72,1.35,0.46,0.46,0.45,0.43,0.18,1.39,0.62
1981-03-05,0.19,36.05,-23.43,100.31,2.96,0.22,1.14,2.27,0.45,0.46,0.45,0.43,0.04,0.0,-39.0,100.01,-0.31,-2.72,-0.88,1.14,0.45,0.45,0.45,0.43,0.36,204.36,-4.64,100.61,6.99,3.23,3.27,4.54,0.45,0.46,0.45,0.43,1.65,0.96,0.53
1981-03-06,0.08,38.21,-16.52,99.54,7.04,4.97,1.63,3.83,0.47,0.46,0.45,0.43,0.01,0.0,-53.16,99.32,3.61,1.33,-1.4,2.21,0.45,0.45,0.45,0.43,0.19,192.3,0.14,99.95,11.15,7.65,5.7,5.28,0.48,0.46,0.45,0.43,4.43,1.36,0.43
1981-03-07,0.0,21.82,-3.87,99.51,10.66,9.57,3.8,6.62,0.47,0.46,0.45,0.43,0.0,0.0,-25.13,99.41,8.05,7.34,1.44,4.27,0.46,0.46,0.45,0.43,0.01,89.25,1.72,99.83,12.65,10.78,5.09,7.58,0.47,0.46,0.45,0.43,3.38,1.04,0.44
1981-03-08,0.0,37.67,-15.15,99.28,11.25,8.99,4.26,5.25,0.46,0.46,0.45,0.43,0.0,0.0,-58.93,98.9,10.0,6.04,2.15,2.34,0.45,0.46,0.45,0.43,0.0,177.97,-1.05,99.84,12.17,10.29,7.75,7.78,0.46,0.46,0.45,0.43,1.04,2.26,0.51
1981-03-09,0.0,10.54,-2.39,100.11,10.95,10.07,4.15,3.1,0.46,0.46,0.45,0.43,0.0,0.0,-9.78,99.86,10.4,8.99,2.93,1.53,0.41,0.46,0.45,0.43,0.0,47.02,0.42,100.31,11.4,10.69,5.55,4.5,0.49,0.48,0.46,0.43,14.07,0.61,1.61
1981-03-10,0.0,11.18,-2.74,99.93,11.64,10.48,3.32,4.87,0.48,0.47,0.46,0.43,0.0,0.0,-13.34,99.36,10.52,9.85,1.32,1.97,0.46,0.47,0.46,0.43,0.0,42.97,0.82,100.4,12.87,11.15,5.27,6.73,0.49,0.48,0.46,0.43,9.11,0.99,2.61
1981-03-11,0.0,29.9,-6.05,99.03,11.68,10.22,6.09,3.52,0.48,0.48,0.47,0.43,0.0,0.0,-16.1,98.72,10.21,7.72,3.67,1.62,0.47,0.48,0.46,0.43,0.0,132.35,0.21,99.42,13.2,11.63,8.21,5.1,0.49,0.48,0.47,0.43,6.1,1.69,2.07
1981-03-12,0.0,69.74,-42.4,99.31,9.96,7.31,3.81,1.75,0.46,0.47,0.47,0.44,0.0,-0.0,-77.42,99.11,6.92,5.93,2.29,0.94,0.46,0.47,0.47,0.43,0.0,271.36,-14.15,99.49,13.11,8.54,5.61,3.02,0.47,0.48,0.47,0.44,1.83,2.08,1.26
1981-03-13,0.0,69.24,-38.88,98.47,8.17,6.53,1.48,3.74,0.47,0.47,0.47,0.44,0.0,-0.0,-74.55,98.1,6.08,5.46,-0.76,-0.78,0.46,0.47,0.47,0.44,0.0,330.61,-3.04,99.07,11.61,9.09,3.74,5.56,0.49,0.47,0.47,0.44,6.37,1.57,1.08
1981-03-14,0.0,40.3,-21.06,99.1,6.53,5.2,2.99,-0.51,0.47,0.47,0.47,0.44,0.0,-0.0,-50.43,98.39,4.5,3.85,0.43,-1.48,0.47,0.47,0.47,0.44,0.0,173.11,-1.07,99.67,8.18,6.01,4.1,0.55,0.48,0.47,0.47,0.44,3.84,0.96,1.04
1981-03-15,0.0,99.28,-47.35,100.15,5.49,3.13,0.13,-2.97,0.47,0.47,0.47,0.44,0.0,0.0,-90.49,99.73,1.86,0.91,-0.74,-5.44,0.46,0.47,0.47,0.44,0.0,380.45,-2.33,100.51,8.4,5.1,1.9,-0.73,0.48,0.47,0.47,0.44,1.88,2.18,0.8
1981-03-16,0.0,119.72,-65.4,100.55,3.46,0.21,1.69,-2.12,0.46,0.47,0.47,0.44,0.0,-0.0,-112.14,100.45,0.34,-1.82,0.17,-4.13,0.46,0.46,0.47,0.44,0.0,429.08,-29.5,100.63,7.74,1.26,2.23,-0.58,0.47,0.47,0.47,0.44,2.42,2.44,0.71
1981-03-17,0.13,117.98,-75.64,100.48,1.9,-1.24,2.47,-3.17,0.46,0.46,0.47,0.44,0.0,-0.0,-93.94,100.31,-1.28,-2.6,0.38,-6.47,0.45,0.46,0.47,0.44,0.25,393.79,-60.39,100.64,6.3,-0.27,4.63,-0.99,0.46,0.46,0.47,0.44,1.74,2.58,0.78
